00:00:00,0,1,1
00:00:00,1,0,,
00:00:00,2,0,,
00:00:00,3,0,,
00:00:00,4,0,,
00:00:00,5,0,,
00:00:00,6,0,,
00:00:00,7,0,,
00:00:00,8,0,,
00:00:00,9,0,,
00:00:00,10,0,,
00:00:00,11,0,,
00:00:00,12,0,,
00:00:00,13,0,,
00:00:00,14,0,,
00:00:00,15,0,,
00:00:00,16,0,,
00:00:00,17,0,,
00:00:00,18,0,,
00:00:00,19,2,1
00:00:00,20,0,,
00:00:00,21,0,,
00:00:00,22,0,,
00:00:00,23,0,,
00:00:00,24,0,,
00:00:00,25,0,,
00:00:00,26,0,,
00:00:00,27,0,,
00:00:00,28,0,,
00:00:00,29,0,,
00:00:00,30,0,,
00:00:00,31,0,,
00:00:00,32,0,,
00:00:00,33,0,,
00:00:00,34,0,,
00:00:00,35,0,,
00:00:00,36,0,,
00:00:00,37,0,,
00:00:00,38,0,,
00:00:00,39,0,,
00:00:00,40,0,,
00:00:00,41,0,,
00:00:00,42,3,0
00:00:00,43,0,,
00:00:00,44,0,,
00:00:00,45,0,,
00:00:00,46,0,,
00:00:00,47,4,1
00:00:00,48,0,,
00:00:00,49,0,,
00:00:00,50,0,,
00:00:00,51,5,1
00:00:00,52,0,,
00:00:00,53,0,,
00:00:00,54,0,,
00:00:00,55,0,,
00:00:00,56,6,1
00:00:01,3,7,1
00:00:01,4,0,,
00:00:01,5,0,,
00:00:01,6,0,,
00:00:01,7,0,,
00:00:01,8,0,,
00:00:01,9,8,1
00:00:01,10,0,,
00:00:01,11,0,,
00:00:01,12,0,,
00:00:01,13,9,1
00:00:01,14,0,,
00:00:01,15,0,,
00:00:01,16,0,,
00:00:01,17,10,0
00:00:01,18,0,,
00:00:01,19,0,,
00:00:01,20,0,,
00:00:01,21,11,0
00:00:01,22,0,,
00:00:01,23,0,,
00:00:01,24,0,,
00:00:01,25,0,,
00:00:01,26,0,,
00:00:01,27,12,0
00:00:01,28,0,,
00:00:01,29,0,,
00:00:01,30,0,,
00:00:01,31,13,1
00:00:01,32,0,,
00:00:01,33,0,,
00:00:01,34,0,,
00:00:01,35,14,1
00:00:01,36,0,,
00:00:01,37,0,,
00:00:01,38,0,,
00:00:01,39,15,1
00:00:01,40,0,,
00:00:01,41,0,,
00:00:01,42,0,,
00:00:01,43,16,1
00:00:01,44,0,,
00:00:01,45,0,,
00:00:01,46,0,,
00:00:01,47,0,,
00:00:01,48,0,,
00:00:01,49,17,1
00:00:01,50,0,,
00:00:01,51,0,,
00:00:01,52,0,,
00:00:01,53,18,1
00:00:01,54,0,,
00:00:01,55,0,,
00:00:01,56,0,,
00:00:01,57,19,1
00:00:02,1,20,1
00:00:02,2,0,,
00:00:02,3,0,,
00:00:02,4,0,,
00:00:02,5,21,1
00:00:02,6,0,,
00:00:02,7,0,,
00:00:02,8,0,,
00:00:02,9,0,,
00:00:02,10,0,,
00:00:02,11,22,1
00:00:02,12,0,,
00:00:02,13,0,,
00:00:02,14,0,,
00:00:02,15,23,1
00:00:02,16,0,,
00:00:02,17,0,,
00:00:02,18,0,,
00:00:02,19,24,1
00:00:02,20,0,,
00:00:02,21,0,,
00:00:02,22,0,,
00:00:02,23,25,1
00:00:02,24,0,,
00:00:02,25,0,,
00:00:02,26,0,,
00:00:02,27,0,,
00:00:02,28,26,1
00:00:02,29,0,,
00:00:02,30,0,,
00:00:02,31,0,,
00:00:02,32,27,1
00:00:02,33,0,,
00:00:02,34,0,,
00:00:02,35,0,,
00:00:02,36,28,0
00:00:02,37,0,,
00:00:02,38,0,,
00:00:02,39,0,,
00:00:02,40,29,0
00:00:02,41,0,,
00:00:02,42,0,,
00:00:02,43,0,,
00:00:02,44,30,1
00:00:02,45,0,,
00:00:02,46,0,,
00:00:02,47,0,,
00:00:02,48,0,,
00:00:02,49,0,,
00:00:02,50,31,1
00:00:02,51,0,,
00:00:02,52,0,,
00:00:02,53,0,,
00:00:02,54,32,1
00:00:02,55,0,,
00:00:02,56,0,,
00:00:02,57,0,,
00:00:02,58,33,1
00:00:03,2,34,1
00:00:03,3,0,,
00:00:03,4,0,,
00:00:03,5,0,,
00:00:03,6,0,,
00:00:03,7,0,,
00:00:03,8,35,1
00:00:03,9,0,,
00:00:03,10,0,,
00:00:03,11,0,,
00:00:03,12,36,1
00:00:03,13,0,,
00:00:03,14,0,,
00:00:03,15,0,,
00:00:03,16,37,1
00:00:03,17,0,,
00:00:03,18,0,,
00:00:03,19,0,,
00:00:03,20,38,1
00:00:03,21,0,,
00:00:03,22,0,,
00:00:03,23,0,,
00:00:03,24,39,1
00:00:03,25,0,,
00:00:03,26,0,,
00:00:03,27,0,,
00:00:03,28,0,,
00:00:03,29,0,,
00:00:03,30,40,1
00:00:03,31,0,,
00:00:03,32,0,,
00:00:03,33,0,,
00:00:03,34,0,,
00:00:03,35,0,,
00:00:03,36,0,,
00:00:03,37,0,,
00:00:03,38,0,,
00:00:03,39,0,,
00:00:03,40,0,,
00:00:03,41,0,,
00:00:03,42,41,1
00:00:03,43,0,,
00:00:03,44,0,,
00:00:03,45,0,,
00:00:03,46,42,1
00:00:03,47,0,,
00:00:03,48,0,,
00:00:03,49,0,,
00:00:03,50,43,1
00:00:03,51,0,,
00:00:03,52,0,,
00:00:03,53,0,,
00:00:03,54,44,1
00:00:03,55,0,,
00:00:03,56,0,,
00:00:03,57,0,,
00:00:03,58,45,1
00:00:04,2,46,1
00:00:04,3,0,,
00:00:04,4,0,,
00:00:04,5,47,1
00:00:04,6,0,,
00:00:04,7,0,,
00:00:04,8,0,,
00:00:04,9,0,,
00:00:04,10,48,1
00:00:04,11,0,,
00:00:04,12,0,,
00:00:04,13,0,,
00:00:04,14,49,1
00:00:04,15,0,,
00:00:04,16,0,,
00:00:04,17,50,1
00:00:04,18,0,,
00:00:04,19,0,,
00:00:04,20,0,,
00:00:04,21,0,,
00:00:04,22,51,1
00:00:04,23,0,,
00:00:04,24,0,,
00:00:04,25,0,,
00:00:04,26,52,1
00:00:04,27,0,,
00:00:04,28,0,,
00:00:04,29,53,1
00:00:04,30,0,,
00:00:04,31,0,,
00:00:04,32,0,,
00:00:04,33,54,1
00:00:04,34,0,,
00:00:04,35,0,,
00:00:04,36,0,,
00:00:04,37,55,1
00:00:04,38,0,,
00:00:04,39,0,,
00:00:04,40,0,,
00:00:04,41,56,1
00:00:04,42,0,,
00:00:04,43,0,,
00:00:04,44,0,,
00:00:04,45,57,1
00:00:04,46,0,,
00:00:04,47,0,,
00:00:04,48,0,,
00:00:04,49,58,1
00:00:04,50,0,,
00:00:04,51,0,,
00:00:04,52,0,,
00:00:04,53,59,1
00:00:04,54,0,,
00:00:04,55,0,,
00:00:04,56,0,,
00:00:04,57,60,1
00:00:05,1,61,1
00:00:05,2,0,,
00:00:05,3,0,,
00:00:05,4,0,,
00:00:05,5,62,1
00:00:05,6,0,,
00:00:05,7,0,,
00:00:05,8,0,,
00:00:05,9,63,1
00:00:05,10,0,,
00:00:05,11,0,,
00:00:05,12,0,,
00:00:05,13,64,1
00:00:05,14,0,,
00:00:05,15,0,,
00:00:05,16,0,,
00:00:05,17,65,1
00:00:05,18,0,,
00:00:05,19,0,,
00:00:05,20,0,,
00:00:05,21,66,1
00:00:05,22,0,,
00:00:05,23,0,,
00:00:05,24,0,,
00:00:05,25,67,1
00:00:05,26,0,,
00:00:05,27,0,,
00:00:05,28,0,,
00:00:05,29,68,1
00:00:05,30,0,,
00:00:05,31,0,,
00:00:05,32,0,,
00:00:05,33,69,1
00:00:05,34,0,,
00:00:05,35,0,,
00:00:05,36,0,,
00:00:05,37,70,1
00:00:05,38,0,,
00:00:05,39,0,,
00:00:05,40,71,1
00:00:05,41,0,,
00:00:05,42,0,,
00:00:05,43,0,,
00:00:05,44,0,,
00:00:05,45,72,1
00:00:05,46,0,,
00:00:05,47,0,,
00:00:05,48,0,,
00:00:05,49,73,1
00:00:05,50,0,,
00:00:05,51,0,,
00:00:05,52,0,,
00:00:05,53,74,1
00:00:05,54,0,,
00:00:05,55,0,,
00:00:05,56,75,1
00:00:06,0,76,1
00:00:06,1,0,,
00:00:06,2,0,,
00:00:06,3,0,,
00:00:06,4,77,1
00:00:06,5,0,,
00:00:06,6,0,,
00:00:06,7,0,,
00:00:06,8,0,,
00:00:06,9,78,1
00:00:06,10,0,,
00:00:06,11,0,,
